"split","fold","threshold","specificity","sensitivity","fpr","tpr"
"training","overall",0.129385062621024,0.370503597122302,0.972222222222222,0.629496402877698,0.972222222222222
"training","overall",0.129849757359698,0.37410071942446,0.972222222222222,0.62589928057554,0.972222222222222
"training","overall",0.13014868027381,0.377697841726619,0.972222222222222,0.622302158273381,0.972222222222222
"training","overall",0.130395224509206,0.381294964028777,0.972222222222222,0.618705035971223,0.972222222222222
"training","overall",0.131204526795268,0.384892086330935,0.972222222222222,0.615107913669065,0.972222222222222
"training","overall",0.133503554622225,0.388489208633094,0.972222222222222,0.611510791366906,0.972222222222222
"training","overall",0.136181974710196,0.392086330935252,0.972222222222222,0.607913669064748,0.972222222222222
"training","overall",0.138155435664292,0.39568345323741,0.972222222222222,0.60431654676259,0.972222222222222
"training","overall",0.139151100812813,0.399280575539568,0.972222222222222,0.600719424460432,0.972222222222222
"training","overall",0.139624236452779,0.399280575539568,0.968253968253968,0.600719424460432,0.968253968253968
"training","overall",0.140237434105525,0.402877697841727,0.968253968253968,0.597122302158273,0.968253968253968
"training","overall",0.14059363195326,0.406474820143885,0.968253968253968,0.593525179856115,0.968253968253968
"training","overall",0.14069846867266,0.410071942446043,0.968253968253968,0.589928057553957,0.968253968253968
"training","overall",0.140784808844153,0.413669064748201,0.968253968253968,0.586330935251799,0.968253968253968
"training","overall",0.142273893159967,0.41726618705036,0.968253968253968,0.58273381294964,0.968253968253968
"training","overall",0.145096042091017,0.420863309352518,0.968253968253968,0.579136690647482,0.968253968253968
"training","overall",0.147700672102715,0.424460431654676,0.968253968253968,0.575539568345324,0.968253968253968
"training","overall",0.1498193865393,0.428057553956835,0.968253968253968,0.571942446043165,0.968253968253968
"training","overall",0.151374883767149,0.431654676258993,0.968253968253968,0.568345323741007,0.968253968253968
"training","overall",0.152241155196532,0.435251798561151,0.968253968253968,0.564748201438849,0.968253968253968
"training","overall",0.153147898475619,0.438848920863309,0.968253968253968,0.561151079136691,0.968253968253968
"training","overall",0.154344131767078,0.442446043165468,0.968253968253968,0.557553956834532,0.968253968253968
"training","overall",0.155593199922765,0.446043165467626,0.968253968253968,0.553956834532374,0.968253968253968
"training","overall",0.15663549249594,0.449640287769784,0.968253968253968,0.550359712230216,0.968253968253968
"training","overall",0.157188786311469,0.453237410071942,0.968253968253968,0.546762589928057,0.968253968253968
"training","overall",0.157902130753333,0.456834532374101,0.968253968253968,0.543165467625899,0.968253968253968
"training","overall",0.158803680012543,0.460431654676259,0.968253968253968,0.539568345323741,0.968253968253968
"training","overall",0.162721196663829,0.460431654676259,0.964285714285714,0.539568345323741,0.964285714285714
"training","overall",0.166997415081092,0.464028776978417,0.964285714285714,0.535971223021583,0.964285714285714
"training","overall",0.168393027948882,0.464028776978417,0.96031746031746,0.535971223021583,0.96031746031746
"training","overall",0.171191546158122,0.467625899280576,0.96031746031746,0.532374100719424,0.96031746031746
"training","overall",0.173782781519683,0.471223021582734,0.96031746031746,0.528776978417266,0.96031746031746
"training","overall",0.176106496136784,0.474820143884892,0.96031746031746,0.525179856115108,0.96031746031746
